site_id,site_name,county,latitude,longitude,aqi,pm25,status,pollutant,publish_time,wind_speed,wind_direction
1,基隆,基隆市,25.129167,121.760056,86,17.0,普通,懸浮微粒,2026/02/24 21:00:00,0.3,342
2,汐止,新北市,25.06624,121.64081,77,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.6,38
4,新店,新北市,24.977222,121.537778,73,19.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.5,109
5,土城,新北市,24.982528,121.451861,75,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.2,155
6,板橋,新北市,25.012972,121.458667,87,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.9,19
7,新莊,新北市,25.037972,121.4325,87,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.4,36
8,菜寮,新北市,25.06895,121.481028,83,25.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,287
9,林口,新北市,25.07798949,121.36548982,71,15.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,27
10,淡水,新北市,25.1645,121.449239,92,18.0,普通,懸浮微粒,2026/02/24 21:00:00,,
11,士林,臺北市,25.10334003,121.51666356,78,21.0,普通,懸浮微粒,2026/02/24 21:00:00,0.2,3
12,中山,臺北市,25.062361,121.526528,78,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.7,124
13,萬華,臺北市,25.046503,121.507972,73,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,14
14,古亭,臺北市,25.020608,121.529556,73,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,43
15,松山,臺北市,25.05,121.578611,81,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,50
16,大同,臺北市,25.06331455,121.51342074,82,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,-,-
17,桃園,桃園市,24.9947107,121.30500531,91,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.9,322
18,大園,桃園市,25.06100357,121.20251473,89,18.0,普通,懸浮微粒,2026/02/24 21:00:00,1.8,32
19,觀音,桃園市,25.03556747,121.08283092,78,14.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,34
20,平鎮,桃園市,24.952786,121.203986,96,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.9,37
21,龍潭,桃園市,24.86400048,121.21645772,94,29.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.4,28
22,湖口,新竹縣,24.90009696,121.03886894,80,21.0,普通,懸浮微粒,2026/02/24 21:00:00,1.3,17
23,竹東,新竹縣,24.74091408,121.08895493,76,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,300
24,新竹,新竹市,24.8056356,120.97236752,77,16.0,普通,懸浮微粒,2026/02/24 21:00:00,0.5,41
25,頭份,苗栗縣,24.69690679,120.89869286,89,29.0,普通,懸浮微粒,2026/02/24 21:00:00,1.5,325
26,苗栗,苗栗縣,24.56499183,120.82011468,78,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.1,359
27,三義,苗栗縣,24.38248443,120.75956754,62,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.3,16
28,豐原,臺中市,24.25699731,120.74252414,71,20.0,普通,懸浮微粒,2026/02/24 21:00:00,2.1,332
29,沙鹿,臺中市,24.225628,120.568794,74,20.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.3,18
30,大里,臺中市,24.09961111,120.67844444,78,19.0,普通,懸浮微粒,2026/02/24 21:00:00,1.7,307
31,忠明,臺中市,24.151958,120.641092,67,14.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,355
32,西屯,臺中市,24.162197,120.616917,68,22.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,337
33,彰化,彰化縣,24.066,120.541519,78,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.3,17
34,線西,彰化縣,24.131672,120.469061,89,20.0,普通,細懸浮微粒,2026/02/24 21:00:00,3.1,20
35,二林,彰化縣,23.925175,120.409653,99,16.0,普通,懸浮微粒,2026/02/24 21:00:00,1.8,5
36,南投,南投縣,23.913,120.685306,77,21.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,25
37,斗六,雲林縣,23.711853,120.544994,92,24.0,普通,懸浮微粒,2026/02/24 21:00:00,1.3,33
38,崙背,雲林縣,23.757547,120.348742,97,25.0,普通,懸浮微粒,2026/02/24 21:00:00,1.1,14
39,新港,嘉義縣,23.554839,120.345531,102,23.0,對敏感族群不健康,懸浮微粒,2026/02/24 21:00:00,2.1,335
40,朴子,嘉義縣,23.46538,120.2478,98,31.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,15
41,臺西,雲林縣,23.702175,120.19933333,78,17.0,普通,懸浮微粒,2026/02/24 21:00:00,3.3,19
42,嘉義,嘉義市,23.46477865,120.44125148,99,33.0,普通,懸浮微粒,2026/02/24 21:00:00,2.1,14
43,新營,臺南市,23.305633,120.31725,100,24.0,普通,懸浮微粒,2026/02/24 21:00:00,1.7,23
44,善化,臺南市,23.11337642,120.29740529,101,27.0,對敏感族群不健康,懸浮微粒,2026/02/24 21:00:00,1.5,37
45,安南,臺南市,23.048197,120.2175,106,33.0,對敏感族群不健康,細懸浮微粒,2026/02/24 21:00:00,1.1,12
46,臺南,臺南市,22.98928311,120.21947897,101,29.0,對敏感族群不健康,細懸浮微粒,2026/02/24 21:00:00,1.2,38
47,美濃,高雄市,22.883583,120.530542,86,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.7,7
48,橋頭,高雄市,22.757506,120.305689,91,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.1,56
49,仁武,高雄市,22.689056,120.332631,94,30.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.9,31
50,鳳山,高雄市,22.628126,120.357422,84,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.6,140
51,大寮,高雄市,22.56413611,120.425311,84,26.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.5,26
52,林園,高雄市,22.4795,120.41175,72,25.0,普通,懸浮微粒,2026/02/24 21:00:00,0.9,12
53,楠梓,高雄市,22.733667,120.328289,91,28.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,46
54,左營,高雄市,22.674861,120.292917,87,24.0,普通,懸浮微粒,2026/02/24 21:00:00,1.2,24
56,前金,高雄市,22.63390278,120.28676111,89,30.0,普通,懸浮微粒,2026/02/24 21:00:00,1.3,14
57,前鎮,高雄市,22.6044507,120.30833356,80,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,1,19
58,小港,高雄市,22.565833,120.337736,80,22.0,普通,懸浮微粒,2026/02/24 21:00:00,1.1,85
59,屏東,屏東縣,22.673081,120.488033,83,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,1,13
60,潮州,屏東縣,22.523108,120.561175,72,26.0,普通,懸浮微粒,2026/02/24 21:00:00,0.5,350
61,恆春,屏東縣,21.958069,120.788928,30,4.0,良好,,2026/02/24 21:00:00,2.6,55
62,臺東,臺東縣,22.755358,121.15045,37,9.0,良好,,2026/02/24 21:00:00,0.4,317
63,花蓮,花蓮縣,23.971306,121.599769,38,7.0,良好,,2026/02/24 21:00:00,1.1,305
64,陽明,臺北市,25.182722,121.529583,41,7.0,良好,,2026/02/24 21:00:00,,
65,宜蘭,宜蘭縣,24.747917,121.746394,49,15.0,良好,,2026/02/24 21:00:00,0.3,217
66,冬山,宜蘭縣,24.632203,121.792928,54,13.0,普通,懸浮微粒,2026/02/24 21:00:00,0.2,188
67,三重,新北市,25.072611,121.493806,84,25.0,普通,懸浮微粒,2026/02/24 21:00:00,-,-
68,中壢,桃園市,24.953278,121.221667,93,22.0,普通,懸浮微粒,2026/02/24 21:00:00,0.2,38
69,竹山,南投縣,23.756389,120.677306,81,23.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.4,146
70,永和,新北市,25.017,121.516306,83,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.4,327
71,復興,高雄市,22.608711,120.312017,80,26.0,普通,懸浮微粒,2026/02/24 21:00:00,1.1,81
72,埔里,南投縣,23.968842,120.967903,70,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.5,270
75,馬祖,連江縣,26.153736,119.952724,108,32.0,對敏感族群不健康,細懸浮微粒,2026/02/24 21:00:00,0.3,34
77,金門,金門縣,24.432133,118.312256,95,31.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.7,134
78,馬公,澎湖縣,23.569031,119.566158,72,13.0,普通,細懸浮微粒,2026/02/24 21:00:00,3.6,36
80,關山,臺東縣,23.045083,121.161933,28,7.0,良好,,2026/02/24 21:00:00,1.1,268
83,麥寮,雲林縣,23.753506,120.251825,89,22.0,普通,懸浮微粒,2026/02/24 21:00:00,1.8,4
84,富貴角,新北市,25.29681695,121.53656894,103,19.0,對敏感族群不健康,懸浮微粒,2026/02/24 21:00:00,0.6,122
85,大城,彰化縣,23.85493056,120.26964167,75,17.0,普通,細懸浮微粒,2026/02/24 21:00:00,3.4,50
88,臺灣大道,臺中市,24.1589,120.6567111,75,23.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.6,358
139,員林,彰化縣,23.9615945,120.5631893,82,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.7,355
140,林森,臺南市,22.98522502,120.22216042,103,31.0,對敏感族群不健康,細懸浮微粒,2026/02/24 21:00:00,0.8,119
203,南投（鹿谷）,南投縣,23.71867609,120.7944772,70,19.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.8,190
204,屏東（琉球）,屏東縣,22.35222,120.37722,47,10.0,良好,,2026/02/24 21:00:00,2,325
311,新北（樹林）,新北市,24.94902778,121.38352778,85,26.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.1,98
313,屏東（枋山）,屏東縣,22.260899,120.651472,48,7.0,良好,,2026/02/24 21:00:00,2,69
314,嘉義（東區）,嘉義市,23.51301,120.44452,96,26.0,普通,懸浮微粒,2026/02/24 21:00:00,0.6,3
